mark,group,bin,position_bp,epi_marg
H3K4me3,A549 G4-,16,165.0,0.01093273889273405
H3K4me3,A549 G4-,17,175.0,0.017442947253584862
H3K4me3,A549 G4-,18,185.0,0.04059038683772087
H3K4me3,A549 G4-,19,195.0,0.03397185727953911
H3K4me3,A549 G4-,20,205.0,0.012865246273577213
H3K4me3,A549 G4-,21,215.0,0.00562527310103178
H3K4me3,A549 G4-,22,225.0,0.0038049030117690563
H3K4me3,A549 G4-,23,235.0,0.0034774616360664368
H3K4me3,A549 G4-,24,245.0,0.0036314590834081173
H3K4me3,A549 G4-,25,255.0,0.0031695354264229536
H3K4me3,A549 G4-,26,265.0,0.002137556904926896
H3K4me3,A549 G4-,27,275.0,0.0015568971866741776
H3K4me3,A549 G4-,28,285.0,0.0017011964228004217
H3K4me3,A549 G4-,29,295.0,0.002104151528328657
H3K4me3,A549 G4-,30,305.0,0.0022941778879612684
H3K4me3,A549 G4-,31,315.0,0.0023173855151981115
H3K4me3,A549 G4-,32,325.0,0.003107929602265358
H3K4me3,A549 G4-,33,335.0,0.004567890893667936
H3K4me3,A549 G4-,34,345.0,0.0038908584974706173
H3K4me3,A549 G4-,35,355.0,0.003102741204202175
H3K4me3,A549 G4-,36,365.0,0.002629872877150774
H3K4me3,A549 G4-,37,375.0,0.002351757837459445
H3K4me3,A549 G4-,38,385.0,0.0026052938774228096
H3K4me3,A549 G4-,39,395.0,0.0036297310143709183
H3K4me3,A549 G4-,40,405.0,0.0054345265962183475
H3K4me3,A549 G4-,41,415.0,0.006523513700813055
H3K4me3,A549 G4-,42,425.0,0.007101799827069044
H3K4me3,A549 G4-,43,435.0,0.007500265724956989
H3K4me3,A549 G4-,44,445.0,0.007355267181992531
H3K4me3,A549 G4-,45,455.0,0.008959094062447548
H3K4me3,A549 G4-,46,465.0,0.012269485741853714
H3K4me3,A549 G4-,47,475.0,0.01593182049691677
H3K4me3,A549 G4-,48,485.0,0.0195065438747406
H3K4me3,A549 G4-,49,495.0,0.027604931965470314
